,时间,标题,股票代码,问询函类型,文件地址
701,2020-07-09 19:40:05,关于对卓郎智能技术股份有限公司2019年年度报告信息披露监管问询函,600545,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139522232123503.pdf
702,2020-07-09 18:50:05,关于浙江天成自控股份有限公司的定期报告信息披露监管问询函,603085,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139522232116590.pdf
703,2020-07-09 17:10:27,关于商赢环球股份有限公司的2019年年报审核问询函,600146,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139522232024243.pdf
704,2020-07-08 19:30:05,关于对重庆啤酒股份有限公司重大资产重组预案的信息披露问询函,600132,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139522231981674.pdf
705,2020-07-08 17:10:05,关于大唐电信科技股份有限公司的重大资产重组预案审核意见函,600198,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139522231857246.pdf
706,2020-07-07 19:30:05,关于对广东文灿压铸股份有限公司重大资产购买报告书（草案）信息披露的问询函,603348,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139522231827471.pdf
707,2020-07-03 20:20:04,关于大连圣亚旅游控股股份有限公司的问询函,600593,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139478405773707.pdf
708,2020-07-03 20:10:05,关于新疆同济堂健康产业股份有限公司的定期报告信息披露监管问询函,600090,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139478405773048.pdf
709,2020-07-03 17:50:05,关于国美通讯设备股份有限公司的重大资产重组预案审核意见函,600898,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139478405742413.pdf
710,2020-07-03 17:10:27,关于吉林森林工业股份有限公司的定期报告信息披露监管问询函,600189,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139478405635808.pdf
711,2020-07-01 17:10:04,关于东方金钰股份有限公司的定期报告信息披露监管问询函,600086,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139478405260350.pdf
712,2020-06-29 17:10:04,关于对上海益民商业集团股份有限公司重大资产重组预案的信息披露问询函,600824,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139461146767937.pdf
713,2020-06-23 20:30:03,关于中珠医疗控股股份有限公司的问询函,600568,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139400062104802.pdf
714,2020-06-22 21:50:03,关于对宁波杉杉股份有限公司重大资产购买预案信息披露的问询函,600884,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139400061923349.pdf
715,2020-06-21 17:10:03,关于天士力医药集团股份有限公司的重大资产重组预案审核意见函,600535,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139400061723612.pdf
716,2020-06-19 17:40:03,关于中珠医疗控股股份有限公司的定期报告信息披露监管问询函,600568,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139338977915329.pdf
